BUFFALO TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ BUF CLASS C             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.56.27.556 W078.44.13.334 N042.56.28.789 W078.44.12.587
                          N042.56.28.789 W078.44.12.587 N042.56.29.693 W078.44.11.220
                          N042.56.29.693 W078.44.11.220 N042.56.30.110 W078.44.09.472
                          N042.56.30.110 W078.44.09.472 N042.56.29.970 W078.44.07.643
                          N042.56.29.970 W078.44.07.643 N042.56.29.295 W078.44.06.051
                          N042.56.29.295 W078.44.06.051 N042.56.28.201 W078.44.04.970
                          N042.56.28.201 W078.44.04.970 N042.56.26.880 W078.44.04.588
                          N042.56.26.870 W078.44.08.999 N042.56.26.870 W078.44.08.999
+ BUF SECTORS             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.56.29.176 W078.44.05.861 N042.56.25.553 W078.44.04.965
                          N042.56.29.833 W078.44.07.207 N042.56.24.565 W078.44.05.861
                          N042.56.30.162 W078.44.08.103 N042.56.23.905 W078.44.07.207
                          N042.56.30.162 W078.44.09.896 N042.56.23.577 W078.44.08.103
                          N042.56.29.505 W078.44.10.792 N042.56.23.577 W078.44.09.896
                          N042.56.29.176 W078.44.12.137 N042.56.23.905 W078.44.10.792
                          N042.56.28.188 W078.44.13.034 N042.56.24.236 W078.44.12.137
                          N042.56.26.880 W078.44.04.588 N042.56.25.559 W078.44.04.970
                          N042.56.25.559 W078.44.04.970 N042.56.24.466 W078.44.06.051
                          N042.56.24.466 W078.44.06.051 N042.56.23.790 W078.44.07.643
                          N042.56.23.790 W078.44.07.643 N042.56.23.649 W078.44.09.472
                          N042.56.23.649 W078.44.09.472 N042.56.24.067 W078.44.11.220
                          N042.56.24.067 W078.44.11.220 N042.56.24.971 W078.44.12.587
                          N042.56.24.971 W078.44.12.587 N042.56.26.205 W078.44.13.334
                          N042.56.26.205 W078.44.13.334 N042.56.27.556 W078.44.13.334
                          N042.56.27.556 W078.44.13.334 N042.56.28.789 W078.44.12.587
                          N042.56.28.789 W078.44.12.587 N042.56.29.693 W078.44.11.220
                          N042.56.29.693 W078.44.11.220 N042.56.30.110 W078.44.09.472
                          N042.56.30.110 W078.44.09.472 N042.56.29.970 W078.44.07.643
                          N042.56.29.970 W078.44.07.643 N042.56.29.295 W078.44.06.051
                          N042.56.29.295 W078.44.06.051 N042.56.28.201 W078.44.04.970
                          N042.56.28.201 W078.44.04.970 N042.56.26.880 W078.44.04.588
                          N042.47.45.001 W079.06.34.596 N042.47.51.389 W079.05.54.385
                          N042.47.57.770 W079.05.14.172 N042.48.04.149 W079.04.34.406
                          N042.48.31.627 W078.59.24.587 N042.48.07.973 W078.58.58.996
                          N042.47.44.643 W078.58.33.416 N042.47.20.985 W078.58.07.390
                          N042.44.12.646 W078.54.42.066 N042.43.48.971 W078.54.16.536
                          N042.43.25.295 W078.53.51.011 N042.43.01.948 W078.53.25.047
                          N042.42.38.272 W078.52.59.533 N042.42.25.116 W078.52.45.210
                          N042.39.30.403 W078.54.41.716 N042.39.03.369 W078.54.59.485
                          N042.38.36.336 W078.55.17.696 N042.38.09.302 W078.55.35.458
                          N042.34.32.331 W078.57.59.618 N042.34.04.956 W078.58.17.785
                          N042.33.37.914 W078.58.35.502 N042.33.10.871 W078.58.53.660
